ID,COMPLETION_DATE,EMAIL,Syn_Company_Name,LOCATION,Syn_First_Name,Syn_Last_Name,POSITION,Syn_Supervisor_Name,WHAT_IS_THE_REASON_THAT_MADE_YOU_DECIDE_TO_LEAVE,HOW_WOULD_YOU_RATE_THE_COMMUNICATION_BETWEEN_YOU_AND_YOUR_SUPERVISOR,COMMENTS_TO_QUESTION_8,SNOWFLAKE.CORTEX.SENTIMENT(COMMENTS_TO_QUESTION_8),PLEASE_RATE_THE_SUPPORT_YOU_RECEIVED_TO_BE_SUCCESSFUL_IN_YOUR_POSITION,COMMENTS_TO_QUESTION_10,SNOWFLAKE.CORTEX.SENTIMENT(COMMENTS_TO_QUESTION_10),PLEASE_RATE_THE_LEADERSHIP_QUALITIES_OF_UPPER_MANAGEMENT_LOCAL_AND_CORPORATE,COMMENTS_TO_QUESTION_12,SNOWFLAKE.CORTEX.SENTIMENT(COMMENTS_TO_QUESTION_12),WHAT_SUGGESTIONS_DO_YOU_HAVE_FOR_THE_COMPANY_HOW_COULD_WE_IMPROVE,ANYTHING_ELSE_YOU_WOULD_LIKE_FOR_US_TO_KNOW,SEQ,INDEX,VALUE,REASON,REASON_GROUP
88,8/6/2025,anonymous,Blue Horizon Home Health & Hospice,Hill Country,Amanda,Chen,RNCM,Anthony Delgado,Dissatisfied with Supervisor;,3,,0.0859375,1,,0.0859375,1,My supervisor had demonstrated behavior that I would characterize as unprofessional,-0.43359375,"
-Supervisor training as my supervisor has demonstrated lack of professionalism",,1,1,Dissatisfied with Supervisor,dissatisfied with supervisor,Supervisor / Management
88,8/6/2025,anonymous,Blue Horizon Home Health & Hospice,Hill Country,Amanda,Chen,RNCM,Anthony Delgado,Dissatisfied with Supervisor;,3,,0.0859375,1,,0.0859375,1,My supervisor had demonstrated behavior that I would characterize as unprofessional,-0.43359375,"
-Supervisor training as my supervisor has demonstrated lack of professionalism",,1,2,,,Other
89,8/6/2025,anonymous,Evergreen Compassion Hospice,"El Paso, TX",Andrew,Nguyen,Chaplain,Daniel Foster,care for my family ;,5,She is amazing person to work with,0.8125,3,Better support should have been offered to chaplains since the company anticipated growth,0.0703125,2,Poor communication,-0.7011719,support all departments equally,none ,2,1,care for my family ,care for my family,Workâ€“Life Balance / Family
89,8/6/2025,anonymous,Evergreen Compassion Hospice,"El Paso, TX",Andrew,Nguyen,Chaplain,Daniel Foster,care for my family ;,5,She is amazing person to work with,0.8125,3,Better support should have been offered to chaplains since the company anticipated growth,0.0703125,2,Poor communication,-0.7011719,support all departments equally,none ,2,2,,,Other
92,8/23/2025,anonymous,Evergreen Compassion Hospice,CollegeStation Texas,Brian,Hernandez,CNA,Elaine Morrison,Pay;Dissatisfied with Job;Dissatisfied with Supervisor;,2,,0.0859375,3,,0.0859375,1,,0.0859375,Fire Jill,Jill does not take responsibility and own up to her mistakes and I was being discriminated against by Jill she made the work environment vey hostile for me it was pointless to tell Perry anything because he went along with whatever she said rumor was they were sleeping together not my business not the leadership I want to work under you canï¿½t accomplish anything with them both agreeing against you anyway I feel all Jill was focusing on was the budget basically after speaking with her and Perry about the 90 day evaluation that I was promised a fifty cent raise by Jason whom was and is no loner there I did and was doing everything right after me asking two months still after my ninety days Jill through up an evaluation and lied on it with Perry present there I should not have signed it because I didnï¿½t agree with it but I was afraid I would be terminated because Jill didnï¿½t like me and was making my work environment hostile for me I had been lied to by this company from the start of my employment ,3,1,Pay,pay,Pay & Compensation
92,8/23/2025,anonymous,Evergreen Compassion Hospice,CollegeStation Texas,Brian,Hernandez,CNA,Elaine Morrison,Pay;Dissatisfied with Job;Dissatisfied with Supervisor;,2,,0.0859375,3,,0.0859375,1,,0.0859375,Fire Jill,Jill does not take responsibility and own up to her mistakes and I was being discriminated against by Jill she made the work environment vey hostile for me it was pointless to tell Perry anything because he went along with whatever she said rumor was they were sleeping together not my business not the leadership I want to work under you canï¿½t accomplish anything with them both agreeing against you anyway I feel all Jill was focusing on was the budget basically after speaking with her and Perry about the 90 day evaluation that I was promised a fifty cent raise by Jason whom was and is no loner there I did and was doing everything right after me asking two months still after my ninety days Jill through up an evaluation and lied on it with Perry present there I should not have signed it because I didnï¿½t agree with it but I was afraid I would be terminated because Jill didnï¿½t like me and was making my work environment hostile for me I had been lied to by this company from the start of my employment ,3,2,Dissatisfied with Job,dissatisfied with job,Job Dissatisfaction
92,8/23/2025,anonymous,Evergreen Compassion Hospice,CollegeStation Texas,Brian,Hernandez,CNA,Elaine Morrison,Pay;Dissatisfied with Job;Dissatisfied with Supervisor;,2,,0.0859375,3,,0.0859375,1,,0.0859375,Fire Jill,Jill does not take responsibility and own up to her mistakes and I was being discriminated against by Jill she made the work environment vey hostile for me it was pointless to tell Perry anything because he went along with whatever she said rumor was they were sleeping together not my business not the leadership I want to work under you canï¿½t accomplish anything with them both agreeing against you anyway I feel all Jill was focusing on was the budget basically after speaking with her and Perry about the 90 day evaluation that I was promised a fifty cent raise by Jason whom was and is no loner there I did and was doing everything right after me asking two months still after my ninety days Jill through up an evaluation and lied on it with Perry present there I should not have signed it because I didnï¿½t agree with it but I was afraid I would be terminated because Jill didnï¿½t like me and was making my work environment hostile for me I had been lied to by this company from the start of my employment ,3,3,Dissatisfied with Supervisor,dissatisfied with supervisor,Supervisor / Management
92,8/23/2025,anonymous,Evergreen Compassion Hospice,CollegeStation Texas,Brian,Hernandez,CNA,Elaine Morrison,Pay;Dissatisfied with Job;Dissatisfied with Supervisor;,2,,0.0859375,3,,0.0859375,1,,0.0859375,Fire Jill,Jill does not take responsibility and own up to her mistakes and I was being discriminated against by Jill she made the work environment vey hostile for me it was pointless to tell Perry anything because he went along with whatever she said rumor was they were sleeping together not my business not the leadership I want to work under you canï¿½t accomplish anything with them both agreeing against you anyway I feel all Jill was focusing on was the budget basically after speaking with her and Perry about the 90 day evaluation that I was promised a fifty cent raise by Jason whom was and is no loner there I did and was doing everything right after me asking two months still after my ninety days Jill through up an evaluation and lied on it with Perry present there I should not have signed it because I didnï¿½t agree with it but I was afraid I would be terminated because Jill didnï¿½t like me and was making my work environment hostile for me I had been lied to by this company from the start of my employment ,3,4,,,Other
93,8/27/2025,anonymous,Summit Valley Home Health Care and Hospice,"Brunswick, GA",Christopher,Parker,Chaplain,James Holloway,Not enough time between full-time job and part-time job and family needs;,5,They were both supportive and great,0.765625,5,,0.0859375,5,,0.0859375,n/a,Try to make the trainings more engaging,4,1,Not enough time between full-time job and part-time job and family needs,not enough time between full-time job and part-time job and family needs,Job Dissatisfaction
93,8/27/2025,anonymous,Summit Valley Home Health Care and Hospice,"Brunswick, GA",Christopher,Parker,Chaplain,James Holloway,Not enough time between full-time job and part-time job and family needs;,5,They were both supportive and great,0.765625,5,,0.0859375,5,,0.0859375,n/a,Try to make the trainings more engaging,4,2,,,Other
90,8/12/2025,anonymous,Trinity Care Home Health & Hospice,Plainview,Daniel,Lee,LVN,Karen Whitfield,Full time position ;,5,,0.0859375,5,,0.0859375,5,,0.0859375,,,5,1,Full time position ,full time position,Career Growth / Hours
90,8/12/2025,anonymous,Trinity Care Home Health & Hospice,Plainview,Daniel,Lee,LVN,Karen Whitfield,Full time position ;,5,,0.0859375,5,,0.0859375,5,,0.0859375,,,5,2,,,Other
91,8/22/2025,anonymous,Trinity Care Home Health & Hospice,McKinney,David,Patel,CSR,Linda Carver,Dissatisfied with Job;Dissatisfied with Supervisor;,2,"The intake referral process pretty much was dumped on me without even asking me if this is something Iï¿½d like to do. I was given 6 1/2 days of training to a very chaotic and unorganized intake referral system. When I would asked questions to my supervisor pertaining to the intake referral process she would say thatï¿½s not important right now will address that later. Well to me, it was very important at that moment. I was trying to learn the system and other coworkers told me the intake referral process is a beast. Indeed it was. I shouldï¿½ve been able to have ample time to adjust to all the ins and outs of this new role. The amount of notes I took, couldnï¿½t compare to the one on one I needed in making this successful for me otherwise I would still be there.",-0.40234375,2,"As I said, 6 1/2 days of training was not enough time to learn what I needed to know. Every situation was different on just about every referral. Even the seasoned intake referral people constantly made mistakes. One person would say to do it this way and other person would say do it that way. There was never any consistency.",-0.25,3,No comment,-0.359375,No comment,"I gave 100% to this company. Iï¿½ve worked overtime and worked through lunch knowing there wouldnï¿½t be any compensation. I also cleaned the office so they didnï¿½t have to hire an outside company. Yes I cleaned the toilet, swept and mopped, emptied trash cans and took out the trash to the dumpster. I absolutely loved my job before the new role came into place. As I look back, I feel that I wasnï¿½t appreciated for my efforts. I was always on time and never late for work. And out of the year and a half I worked, I only called in sick twice, one being August 22, 2025.I lost all my PTO because I called in sick on August 22 and by doing so it meant that I had to work Thursday, August 28 or I would lose my PTO. Itï¿½s unfortunate that my husband and I already had a trip planned for Thursday and Friday August 28th and 29th. This trip could not be rearranged.This trip had already been approved for PTO months ago by my supervisor.",6,1,Dissatisfied with Job,dissatisfied with job,Job Dissatisfaction
91,8/22/2025,anonymous,Trinity Care Home Health & Hospice,McKinney,David,Patel,CSR,Linda Carver,Dissatisfied with Job;Dissatisfied with Supervisor;,2,"The intake referral process pretty much was dumped on me without even asking me if this is something Iï¿½d like to do. I was given 6 1/2 days of training to a very chaotic and unorganized intake referral system. When I would asked questions to my supervisor pertaining to the intake referral process she would say thatï¿½s not important right now will address that later. Well to me, it was very important at that moment. I was trying to learn the system and other coworkers told me the intake referral process is a beast. Indeed it was. I shouldï¿½ve been able to have ample time to adjust to all the ins and outs of this new role. The amount of notes I took, couldnï¿½t compare to the one on one I needed in making this successful for me otherwise I would still be there.",-0.40234375,2,"As I said, 6 1/2 days of training was not enough time to learn what I needed to know. Every situation was different on just about every referral. Even the seasoned intake referral people constantly made mistakes. One person would say to do it this way and other person would say do it that way. There was never any consistency.",-0.25,3,No comment,-0.359375,No comment,"I gave 100% to this company. Iï¿½ve worked overtime and worked through lunch knowing there wouldnï¿½t be any compensation. I also cleaned the office so they didnï¿½t have to hire an outside company. Yes I cleaned the toilet, swept and mopped, emptied trash cans and took out the trash to the dumpster. I absolutely loved my job before the new role came into place. As I look back, I feel that I wasnï¿½t appreciated for my efforts. I was always on time and never late for work. And out of the year and a half I worked, I only called in sick twice, one being August 22, 2025.I lost all my PTO because I called in sick on August 22 and by doing so it meant that I had to work Thursday, August 28 or I would lose my PTO. Itï¿½s unfortunate that my husband and I already had a trip planned for Thursday and Friday August 28th and 29th. This trip could not be rearranged.This trip had already been approved for PTO months ago by my supervisor.",6,2,Dissatisfied with Supervisor,dissatisfied with supervisor,Supervisor / Management
91,8/22/2025,anonymous,Trinity Care Home Health & Hospice,McKinney,David,Patel,CSR,Linda Carver,Dissatisfied with Job;Dissatisfied with Supervisor;,2,"The intake referral process pretty much was dumped on me without even asking me if this is something Iï¿½d like to do. I was given 6 1/2 days of training to a very chaotic and unorganized intake referral system. When I would asked questions to my supervisor pertaining to the intake referral process she would say thatï¿½s not important right now will address that later. Well to me, it was very important at that moment. I was trying to learn the system and other coworkers told me the intake referral process is a beast. Indeed it was. I shouldï¿½ve been able to have ample time to adjust to all the ins and outs of this new role. The amount of notes I took, couldnï¿½t compare to the one on one I needed in making this successful for me otherwise I would still be there.",-0.40234375,2,"As I said, 6 1/2 days of training was not enough time to learn what I needed to know. Every situation was different on just about every referral. Even the seasoned intake referral people constantly made mistakes. One person would say to do it this way and other person would say do it that way. There was never any consistency.",-0.25,3,No comment,-0.359375,No comment,"I gave 100% to this company. Iï¿½ve worked overtime and worked through lunch knowing there wouldnï¿½t be any compensation. I also cleaned the office so they didnï¿½t have to hire an outside company. Yes I cleaned the toilet, swept and mopped, emptied trash cans and took out the trash to the dumpster. I absolutely loved my job before the new role came into place. As I look back, I feel that I wasnï¿½t appreciated for my efforts. I was always on time and never late for work. And out of the year and a half I worked, I only called in sick twice, one being August 22, 2025.I lost all my PTO because I called in sick on August 22 and by doing so it meant that I had to work Thursday, August 28 or I would lose my PTO. Itï¿½s unfortunate that my husband and I already had a trip planned for Thursday and Friday August 28th and 29th. This trip could not be rearranged.This trip had already been approved for PTO months ago by my supervisor.",6,3,,,Other
94,9/3/2025,anonymous,Blue Horizon Home Health & Hospice,Austin/Pflugerville,Emily,Kim,Partnership Development Representative,Michelle Thornton,Personal/Family Reasons;,2,"From the start of my time with Magnolia Hospice, my direct supervisor was difficult to communicate with. Not very organized or timely, rather erratic. She was also difficult to get direct answers from and I looked to other employees and colleagues for direction and support, especially in my first few months.",-0.140625,4,"My executive director, the back office clinical staff, and my seasoned peers provided great support during my time with Magnolia Hospice. The 4 stars is a reflection of the limited level of support from my direct supervisor. It was almost as if she did not want me to succeed. ",0.59375,3,"Local management, with the exception of my supervisor, was great. I did not communicate often with corporate management, but when I did, it was timely, professional, helpful and appreciated.",0.5390625,"Promoting within an organization is great, but make sure the people you promote have the skill set and temperament for the role. Successful sales people do not always translate to successful managers. ","I am grateful for my time with Magnolia Hospice. In my 6 months of employment, I met a lot of great people and overall was quite happy with my role. I am 6 months pregnant and the physical demands of driving that my role requires ultimately led me to resign sooner than I would have liked. ",7,1,Personal/Family Reasons,personal/family reasons,Workâ€“Life Balance / Family
